s	pop	prob_AFR	prob_AMR	prob_CSA	prob_EAS	prob_EUR	prob_MID	prob_OCE	true_pop
HG00101	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00102	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00115	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00118	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00129	EUR	0.01	0.0	0.0	0.0	0.99	0.0	0.0	EUR
HG00171	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00178	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00183	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00240	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00254	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00274	EUR	0.0	0.07	0.0	0.0	0.93	0.0	0.0	EUR
HG00290	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00310	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00339	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00380	EUR	0.0	0.0	0.0	0.0	0.99	0.01	0.0	EUR
HG00381	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG00442	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00464	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00473	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00551	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG00584	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00589	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00607	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00613	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00631	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00672	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00689	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00844	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG00881	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01047	AMR	0.0	0.97	0.0	0.0	0.02	0.01	0.0	AMR
HG01085	AMR	0.0	0.93	0.01	0.01	0.04	0.01	0.0	AMR
HG01092	AMR	0.01	0.96	0.0	0.0	0.02	0.01	0.0	AMR
HG01136	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01173	oth	0.01	0.74	0.0	0.0	0.22	0.03	0.0	AMR
HG01182	AMR	0.0	0.98	0.0	0.0	0.02	0.0	0.0	AMR
HG01250	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01271	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01278	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01305	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01341	AMR	0.01	0.94	0.02	0.0	0.03	0.0	0.0	AMR
HG01345	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01374	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01389	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01412	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01447	AMR	0.01	0.98	0.0	0.0	0.01	0.0	0.0	AMR
HG01461	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01503	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01507	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01524	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01536	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01571	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01578	AMR	0.01	0.97	0.02	0.0	0.0	0.0	0.0	AMR
HG01607	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01686	EUR	0.0	0.01	0.0	0.0	0.99	0.0	0.0	EUR
HG01761	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01773	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01777	EUR	0.0	0.01	0.0	0.0	0.99	0.0	0.0	EUR
HG01785	EUR	0.0	0.0	0.0	0.0	1.0	0.0	0.0	EUR
HG01801	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01840	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01853	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01858	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01868	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01870	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01878	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG01883	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG01890	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG01893	AMR	0.0	0.98	0.01	0.0	0.0	0.0	0.01	AMR
HG01923	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01954	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG01989	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02013	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02040	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02076	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02082	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02084	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02127	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02133	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02147	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG02186	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02239	EUR	0.01	0.09	0.0	0.0	0.9	0.0	0.0	EUR
HG02250	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02265	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG02272	AMR	0.0	0.99	0.0	0.0	0.0	0.0	0.01	AMR
HG02275	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG02283	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02301	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG02302	AMR	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AMR
HG02307	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02334	AFR	0.96	0.02	0.0	0.01	0.01	0.0	0.0	AFR
HG02353	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02364	EAS	0.0	0.01	0.0	0.98	0.01	0.0	0.0	EAS
HG02380	EAS	0.0	0.0	0.0	0.99	0.01	0.0	0.0	EAS
HG02382	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02395	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02489	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02524	EAS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	EAS
HG02541	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02549	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
HG02555	AFR	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AFR
