s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG00101	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00102	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00115	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00118	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00129	EUR	0.996097829786979	0.0006587035680925263	0.0015039638328684574	0.000402159250782786	0.0005546628217542236	0.0003770003046590188	0.00040568043486398624	EUR
HG00171	EUR	0.996183952091519	0.000645963850867352	0.001474848512632332	0.00039427903706825145	0.0005335067213086548	0.00036969019156763957	0.0003977595950367187	EUR
HG00178	EUR	0.9961842608228416	0.0006459235570412871	0.0014746955463959012	0.000394253364537733	0.0005334658626312618	0.0003696667931594436	0.00039773405339267246	EUR
HG00183	EUR	0.9961842619935148	0.000645923404196063	0.0014746949669239497	0.0003942532671655304	0.0005334657073265913	0.000369666704403611	0.0003977339564695058	EUR
HG00240	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00254	EUR	0.9961842547769605	0.0006459244907774887	0.001474698171722397	0.0003942539740219269	0.000533466718103423	0.0003696672770875431	0.0003977345913267303	EUR
HG00274	EUR	0.9951588871880722	0.0007760795606874927	0.002025263391159692	0.0004745063082073087	0.0006433380748072505	0.00044391643988377853	0.00047800903718232655	EUR
HG00290	EUR	0.9961839520867034	0.0006459638514960761	0.0014748485150160723	0.00039427903746878994	0.0005335067219475056	0.00036969019193273435	0.00039775959543541004	EUR
HG00310	EUR	0.9961842608231442	0.0006459235569956105	0.001474695546288011	0.00039425336450729366	0.000533465862591507	0.00036966679313113894	0.00039773405334220377	EUR
HG00339	EUR	0.9961842582183971	0.0006459238970823429	0.0014746968355713042	0.0003942535811656796	0.0005334662081439796	0.00036966699061819527	0.00039773426902162985	EUR
HG00380	EUR	0.9961045404951365	0.0006588824758705849	0.001501707382856843	0.00040208260353132426	0.0005439989342573986	0.00037693417045215965	0.00041185393789514116	EUR
HG00381	EUR	0.9961830479512737	0.000646081904528199	0.0014752959289117055	0.00039435424254425413	0.0005336267628027113	0.0003697587438997078	0.00039783446603969464	EUR
HG00442	EAS	0.0004384579766222123	0.9976435897996158	0.0005593071762959733	0.00016479793081351142	0.0004972416077607982	0.0003162628003528828	0.0003803427085389192	EAS
HG00464	EAS	0.00043845797662334356	0.9976435897996088	0.0005593071762989126	0.00016479793081387943	0.0004972416077618211	0.0003162628003536395	0.0003803427085398293	EAS
HG00473	EAS	0.0004384998255119913	0.9976433483206822	0.0005593599345709052	0.0001648320586281185	0.0004972885316642999	0.0003162927399833486	0.00038037858895877824	EAS
HG00551	AMR	0.0002432502461273892	0.0008747905653485378	0.9959722613190034	0.0005720754796559804	0.0012765835684755654	0.0004844804225531474	0.0005765583988360488	AMR
HG00584	EAS	0.000438499825512983	0.9976433483206764	0.0005593599345734808	0.00016483205862844106	0.0004972885316651966	0.0003162927399840125	0.0003803785889595764	EAS
HG00589	EAS	0.00043845797667366133	0.9976435897992916	0.0005593071764295767	0.00016479793083024478	0.0004972416078073183	0.0003162628003873136	0.0003803427085803117	EAS
HG00607	EAS	0.0004384784781304478	0.9976434714980796	0.000559333022516977	0.00016481465094958238	0.0004972645954620108	0.00031627746814965203	0.00038036028671163766	EAS
HG00613	EAS	0.00043845950332269573	0.9976435809841061	0.0005593091015304133	0.00016479917908098271	0.00049724331954234	0.00031626389373285287	0.0003803440186846595	EAS
HG00631	EAS	0.00043845797662727824	0.9976435897995838	0.000559307176309123	0.00016479793081515925	0.0004972416077653802	0.00031626280035627316	0.0003803427085429952	EAS
HG00672	EAS	0.00043845797662105075	0.9976435897996231	0.000559307176292959	0.00016479793081313355	0.0004972416077597476	0.0003162628003521053	0.0003803427085379849	EAS
HG00689	EAS	0.000438459503322646	0.9976435809841063	0.0005593091015302897	0.00016479917908096634	0.0004972433195422937	0.0003162638937328198	0.0003803440186846194	EAS
